appt_id,provider,date,day_key,block_key,start,end,dur_slots,room,column_id
W1_A0001,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 09:45:00,1,ER15,HPW101|2025-11-10|C1__init
W1_A0086,HPW103,2025-11-10,2025-11-10,HPW103|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 09:45:00,1,ER5,HPW103|2025-11-10|C1__init
W1_A0210,HPW110,2025-11-10,2025-11-10,HPW110|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 10:00:00,2,ER13,HPW110|2025-11-10|C1__init
W1_A0230,HPW111,2025-11-10,2025-11-10,HPW111|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 10:00:00,2,ER9,HPW111|2025-11-10|C1__init
W1_A0256,HPW112,2025-11-10,2025-11-10,HPW112|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 10:00:00,2,ER7,HPW112|2025-11-10|C1__init
W1_A0264,HPW113,2025-11-10,2025-11-10,HPW113|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 10:00:00,2,ER11,HPW113|2025-11-10|C1__init
W1_A0291,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C1,2025-11-10 09:30:00,2025-11-10 09:45:00,1,ER12,HPW114|2025-11-10|C1__init
W1_A0312,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C2,2025-11-10 09:30:00,2025-11-10 09:45:00,1,ER6,HPW114|2025-11-10|C2__init
W1_A0005,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C1,2025-11-10 09:45:00,2025-11-10 10:00:00,1,ER15,HPW101|2025-11-10|C1__init
W1_A0009,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C2,2025-11-10 09:45:00,2025-11-10 10:00:00,1,ER10,HPW101|2025-11-10|C2__init
W1_A0286,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C2,2025-11-10 09:45:00,2025-11-10 10:00:00,1,ER6,HPW114|2025-11-10|C2__init
W1_A0288,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C3,2025-11-10 09:45:00,2025-11-10 10:00:00,1,ER3,HPW114|2025-11-10|C3__init
W1_A0302,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C1,2025-11-10 09:45:00,2025-11-10 10:00:00,1,ER12,HPW114|2025-11-10|C1__init
W1_A0004,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:15:00,1,ER15,HPW101|2025-11-10|C1__init
W1_A0006,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C2,2025-11-10 10:00:00,2025-11-10 10:15:00,1,ER10,HPW101|2025-11-10|C2__init
W1_A0015,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C3,2025-11-10 10:00:00,2025-11-10 10:15:00,1,ER2,HPW101|2025-11-10|C3__init
W1_A0090,HPW103,2025-11-10,2025-11-10,HPW103|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER5,HPW103|2025-11-10|C1__init
W1_A0107,HPW104,2025-11-10,2025-11-10,HPW104|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:15:00,1,ER14,HPW104|2025-11-10|C1__init
W1_A0176,HPW107,2025-11-10,2025-11-10,HPW107|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER4,HPW107|2025-11-10|C1__init
W1_A0229,HPW111,2025-11-10,2025-11-10,HPW111|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER9,HPW111|2025-11-10|C1__init
W1_A0257,HPW112,2025-11-10,2025-11-10,HPW112|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER7,HPW112|2025-11-10|C1__init
W1_A0262,HPW113,2025-11-10,2025-11-10,HPW113|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER11,HPW113|2025-11-10|C1__init
W1_A0308,HPW114,2025-11-10,2025-11-10,HPW114|2025-11-10|C1,2025-11-10 10:00:00,2025-11-10 10:30:00,2,ER12,HPW114|2025-11-10|C1__init
W1_A0007,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C1,2025-11-10 10:15:00,2025-11-10 10:30:00,1,ER15,HPW101|2025-11-10|C1__init
W1_A0014,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C2,2025-11-10 10:15:00,2025-11-10 10:30:00,1,ER10,HPW101|2025-11-10|C2__init
W1_A0106,HPW104,2025-11-10,2025-11-10,HPW104|2025-11-10|C1,2025-11-10 10:15:00,2025-11-10 10:30:00,1,ER14,HPW104|2025-11-10|C1__init
W1_A0002,HPW101,2025-11-10,2025-11-10,HPW101|2025-11-10|C1,2025-11-10 10:30:00,2025-11-10 10:45:00,1,ER15,HPW101|2025-11-10|C1__init
W1_A0085,HPW103,2025-11-10,2025-11-10,HPW103|2025-11-10|C2,2025-11-10 10:30:00,2025-11-10 11:00:00,2,ER8,HPW103|2025-11-10|C2__init
W1_A0088,HPW103,2025-11-10,2025-11-10,HPW103|2025-11-10|C1,2025-11-10 10:30:00,2025-11-10 10:45:00,1,ER5,HPW103|2025-11-10|C1__init
W1_A0108,HPW104,2025-11-10,2025-11-10,HPW104|2025-11-10|C1,2025-11-10 10:30:00,2025-11-10 10:45:00,1,ER14,HPW104|2025-11-10|C1__init
W1_A0174,HPW107,2025-11-10,2025-11-10,HPW107|2025-11-10|C1,2025-11-10 10:30:00,2025-11-10 11:00:00,2,ER4,HPW107|2025-11-10|C1__init
