appt_id,provider,date,day_key,block_key,start,end,dur_slots,room,column_id
W2_A0022,HPW205,2025-11-17,2025-11-17,HPW205|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 10:00:00,2,ER5,HPW205|2025-11-17|C1__init
W2_A0032,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 09:45:00,1,ER14,HPW206|2025-11-17|C1__init
W2_A0070,HPW213,2025-11-17,2025-11-17,HPW213|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 10:00:00,2,ER9,HPW213|2025-11-17|C1__init
W2_A0076,HPW216,2025-11-17,2025-11-17,HPW216|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 10:00:00,2,ER2,HPW216|2025-11-17|C1__init
W2_A0084,HPW217,2025-11-17,2025-11-17,HPW217|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 10:00:00,2,ER6,HPW217|2025-11-17|C1__init
W2_A0100,HPW217,2025-11-17,2025-11-17,HPW217|2025-11-17|C1,2025-11-17 09:30:00,2025-11-17 09:45:00,1,ER8,HPW217|2025-11-17|C1__init
W2_A0007,HPW201,2025-11-17,2025-11-17,HPW201|2025-11-17|C1,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER15,HPW201|2025-11-17|C1__init
W2_A0019,HPW201,2025-11-17,2025-11-17,HPW201|2025-11-17|C2,2025-11-17 09:45:00,2025-11-17 10:45:00,4,ER10,HPW201|2025-11-17|C2__init
W2_A0033,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C1,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER14,HPW206|2025-11-17|C1__init
W2_A0034,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C2,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER4,HPW206|2025-11-17|C2__init
W2_A0040,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C3,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER7,HPW206|2025-11-17|C3__init
W2_A0060,HPW208,2025-11-17,2025-11-17,HPW208|2025-11-17|C1,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER13,HPW208|2025-11-17|C1__init
W2_A0091,HPW217,2025-11-17,2025-11-17,HPW217|2025-11-17|C2,2025-11-17 09:45:00,2025-11-17 10:00:00,1,ER8,HPW217|2025-11-17|C2__init
W2_A0020,HPW205,2025-11-17,2025-11-17,HPW205|2025-11-17|C1,2025-11-17 10:00:00,2025-11-17 10:30:00,2,ER5,HPW205|2025-11-17|C1__init
W2_A0031,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C1,2025-11-17 10:00:00,2025-11-17 10:15:00,1,ER14,HPW206|2025-11-17|C1__init
W2_A0036,HPW206,2025-11-17,2025-11-17,HPW206|2025-11-17|C2,2025-11-17 10:00:00,2025-11-17 10:15:00,1,ER4,HPW206|2025-11-17|C2__init
W2_A0056,HPW207,2025-11-17,2025-11-17,HPW207|2025-11-17|C1,2025-11-17 10:00:00,2025-11-17 10:30:00,2,ER12,HPW207|2025-11-17|C1__init
W2_A0073,HPW213,2025-11-17,2025-11-17,HPW213|2025-11-17|C1,2025-11-17 10:00:00,2025-11-17 10:30:00,2,ER9,HPW213|2025-11-17|C1__init
